82;1.35 x 45° HT;G13545H;STH 013 54;TBS;20.00;5.00;;;;;;;;;;;;
83;1.50 x 45° HT;G15045H;STH 015 04;TBS;20.00;5.00;;;;;;;;;;;;
84;1.65 x 45° HT;G16545H;STH 016 54;TBS;20.00;5.00;;;;;;;;;;;;
85;1.75 x 45° HT;G17545H;STH 017 54;TBS;20.00;5.00;;;;;;;;;;;;
86;2.00 x 45° HT;G20045H;STH 020 04;TBS;20.00;5.00;;;;;;;;;;;;
87;2.25 x 45° HT;G22545H;STH 022 54;TBS;20.00;5.00;;;;;;;;;;;;
88;2.50 x 45° HT;G25045H;STH 025 04;TBS;20.00;5.00;;;;;;;;;;;;
89;2.75 x 45° HT;G27545H;STH 027 54;TBS;20.00;5.00;;;;;;;;;;;;
90;3.00 x 45° HT;G30045H;STH 030 04;TBS;20.00;5.00;;;;;;;;;;;;
91;3.25 x 45° HT;G32545H;STH 032 54;TBS;20.00;5.00;;;;;;;;;;;;
92;3.50 x 45° HT;G35045H;STH 035 04;TBS;20.00;5.00;;;;;;;;;;;;
93;3.75 x 45° HT;G37545H;STH 037 54;TBS;20.00;5.00;;;;;;;;;;;;
94;4.00 x 45° HT;G40045H;STH 040 04;TBS;20.00;5.00;;;;;;;;;;;;
95;4.25 x 45° HT;G42545H;STH 042 54;TBS;20.00;5.00;;;;;;;;;;;;
96;4.50 x 45° HT;G45045H;STH 045 04;TBS;20.00;5.00;;;;;;;;;;;;
97;4.75 x 45° HT;G47545H;STH 047 54;TBS;20.00;5.00;;;;;;;;;;;;
98;5.00 x 45° HT;G50045H;STH 050 04;TBS;20.00;5.00;;;;;;;;;;;;
99;0.30 x 60° HT;G3060H;STH 003 06;TBS;20.00;5.00;;;;;;;;;;;;
100;0.32 x 60° HT;G3260H;STH 003 26;TBS;20.00;5.00;;;;;;;;;;;;
101;0.40 x 60° HT;G4060H;STH 004 06;TBS;20.00;5.00;;;;;;;;;;;;
102;0.45 x 60° HT;G4560H;STH 004 56;TBS;20.00;5.00;;;;;;;;;;;;
103;0.50 x 60° HT;G5060H;STH 005 06;TBS;20.00;5.00;;;;;;;;;;;;
104;0.60 x 60° HT;G6060H;STH 006 06;TBS;20.00;5.00;;;;;;;;;;;;
105;0.75 x 60° HT;G7560H;STH 007 56;TBS;20.00;5.00;;;;;;;;;;;;
106;0.85 x 60° HT;G8560H;STH 008 56;TBS;20.00;5.00;;;;;;;;;;;;
107;1.00 x 60° HT;G10060H;STH 010 06;TBS;20.00;5.00;;;;;;;;;;;;
108;1.10 x 60° HT;G11060H;STH 011 06;TBS;20.00;5.00;;;;;;;;;;;;
109;1.15 x 60° HT;G11560H;STH 011 56;TBS;20.00;5.00;;;;;;;;;;;;
110;1.20 x 60° HT;G12060H;STH 012 06;TBS;20.00;5.00;;;;;;;;;;;;
111;1.25 x 60° HT;G12560H;STH 012 56;TBS;20.00;5.00;;;;;;;;;;;;
112;1.35 x 60° HT;G13560H;STH 013 56;TBS;20.00;5.00;;;;;;;;;;;;
113;1.50 x 60° HT;G15060H;STH 015 06;TBS;20.00;5.00;;;;;;;;;;;;
114;1.65 x 60° HT;G16560H;STH 016 56;TBS;20.00;5.00;;;;;;;;;;;;
115;1.75 x 60° HT;G17560H;STH 017 56;TBS;20.00;5.00;;;;;;;;;;;;
116;2.00 x 60° HT;G20060H;STH 020 06;TBS;20.00;5.00;;;;;;;;;;;;
117;2.25 x 60° HT;G22560H;STH 022 56;TBS;20.00;5.00;;;;;;;;;;;;
118;2.50 x 60° HT;G25060H;STH 025 06;TBS;20.00;5.00;;;;;;;;;;;;
119;2.75 x 60° HT;G27560H;STH 027 56;TBS;20.00;5.00;;;;;;;;;;;;
120;3.00 x 60° HT;G30060H;STH 030 06;TBS;20.00;5.00;;;;;;;;;;;;
121;3.25 x 60° HT;G32560H;STH 032 56;TBS;20.00;5.00;;;;;;;;;;;;
122;3.50 x 60° HT;G35060H;STH 035 06;TBS;20.00;5.00;;;;;;;;;;;;
123;3.75 x 60° HT;G37560H;STH 037 56;TBS;20.00;5.00;;;;;;;;;;;;
124;4.00 x 60° HT;G40060H;STH 040 06;TBS;20.00;5.00;;;;;;;;;;;;
125;4.25 x 60° HT;G42560H;STH 042 56;TBS;20.00;5.00;;;;;;;;;;;;
126;4.50 x 60° HT;G45060H;STH 045 06;TBS;20.00;5.00;;;;;;;;;;;;
127;4.75 x 60° HT;G47560H;STH 047 56;TBS;20.00;5.00;;;;;;;;;;;;
128;5.00 x 60° HT;G50060H;STH 050 06;TBS;20.00;5.00;;;;;;;;;;;;
129;0.30 x 80° HT;G3080H;STH 003 08;TBS;20.00;5.00;;;;;;;;;;;;
130;0.32 x 80° HT;G3280H;STH 003 28;TBS;20.00;5.00;;;;;;;;;;;;
131;0.40 x 80° HT;G4080H;STH 004 08;TBS;20.00;5.00;;;;;;;;;;;;
132;0.45 x 80° HT;G4580H;STH 004 58;TBS;20.00;5.00;;;;;;;;;;;;
133;0.50 x 80° HT;G5080H;STH 005 08;TBS;20.00;5.00;;;;;;;;;;;;
134;0.60 x 80° HT;G6080H;STH 006 08;TBS;20.00;5.00;;;;;;;;;;;;
135;0.75 x 80° HT;G7580H;STH 007 58;TBS;20.00;5.00;;;;;;;;;;;;
136;0.85 x 80° HT;G8580H;STH 008 58;TBS;20.00;5.00;;;;;;;;;;;;
